,Product_Name,Product_Cost,Manufacture_Date,Expiry_Date,SKU,Store_Name,Store_Address,Region,Sale_Date,Quantity_Sold,Product_Amount,Product_Measure,Product_Volume,Manufacturer,Expired_days,days2sale
229,Молоко,77.2,2022-09-16 15:33:09,2022-09-21 15:33:09,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-09-19 15:33:09,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",2,3
300,Молоко,334.8,2024-09-12 13:20:56,2024-09-17 13:20:56,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-09-13 13:20:56,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",4,1
517,Молоко,370.0,2023-03-22 12:56:18,2023-03-27 12:56:18,1004,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2023-03-26 12:56:18,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",1,4
835,Молоко,77.7,2023-12-15 13:43:13,2023-12-20 13:43:13,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-12-19 13:43:13,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",1,4
985,Молоко,165.2,2024-05-25 09:50:05,2024-05-30 09:50:05,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-05-25 09:50:05,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",5,0
1045,Молоко,145.4,2023-03-05 14:08:23,2023-03-10 14:08:23,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-03-08 14:08:23,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",2,3
1083,Молоко,212.4,2022-04-04 17:13:32,2022-04-09 17:13:32,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2022-04-06 17:13:32,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",3,2
1102,Молоко,68.0,2021-11-10 20:45:49,2021-11-15 20:45:49,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-11-13 20:45:49,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",2,3
1419,Молоко,74.4,2023-03-11 09:18:21,2023-03-16 09:18:21,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-03-15 09:18:21,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",1,4
1511,Молоко,245.4,2024-10-08 18:24:03,2024-10-13 18:24:03,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-10-11 18:24:03,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
1545,Молоко,290.4,2022-09-28 21:40:08,2022-10-03 21:40:08,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-09-30 21:40:08,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
1835,Молоко,251.4,2024-10-19 18:45:50,2024-10-24 18:45:50,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-10-19 18:45:50,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",5,0
1846,Молоко,81.8,2024-03-24 15:35:06,2024-03-29 15:35:06,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-03-26 15:35:06,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",3,2
1869,Молоко,241.8,2024-09-18 15:09:42,2024-09-23 15:09:42,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-09-19 15:09:42,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",4,1
1965,Молоко,310.4,2024-06-20 14:12:03,2024-06-25 14:12:03,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-06-21 14:12:03,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",4,1
1989,Молоко,156.0,2023-04-17 10:34:56,2023-04-22 10:34:56,1003,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2023-04-19 10:34:56,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",3,2
2139,Молоко,153.8,2022-12-31 14:49:09,2023-01-05 14:49:09,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-01-04 14:49:09,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",1,4
2587,Молоко,351.0,2021-01-13 15:10:14,2021-01-18 15:10:14,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2021-01-16 15:10:14,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",2,3
3128,Молоко,396.0,2024-02-17 13:47:24,2024-02-22 13:47:24,1004,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2024-02-18 13:47:24,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",4,1
3129,Молоко,317.6,2024-06-17 18:35:36,2024-06-22 18:35:36,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-06-17 18:35:36,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",5,0
3209,Молоко,229.5,2024-04-19 15:21:45,2024-04-24 15:21:45,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-04-22 15:21:45,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
3498,Молоко,281.6,2022-08-17 19:33:03,2022-08-22 19:33:03,1004,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2022-08-19 19:33:03,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
3737,Молоко,233.1,2024-08-15 15:51:23,2024-08-20 15:51:23,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-08-18 15:51:23,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
3748,Молоко,149.2,2023-06-14 14:43:06,2023-06-19 14:43:06,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-06-17 14:43:06,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",2,3
3886,Молоко,306.0,2022-05-06 19:32:31,2022-05-11 19:32:31,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-05-08 19:32:31,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",3,2
3950,Молоко,284.4,2022-04-19 11:14:42,2022-04-24 11:14:42,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2022-04-23 11:14:42,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",1,4
4091,Молоко,321.2,2023-07-13 18:31:58,2023-07-18 18:31:58,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-07-17 18:31:58,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",1,4
4114,Молоко,376.0,2023-12-04 21:38:23,2023-12-09 21:38:23,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-12-04 21:38:23,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",5,0
4115,Молоко,231.0,2023-01-14 12:37:16,2023-01-19 12:37:16,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-01-18 12:37:16,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",1,4
4176,Молоко,239.1,2024-12-29 09:13:46,2025-01-03 09:13:46,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2025-01-01 09:13:46,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
4242,Молоко,146.6,2021-11-18 15:09:01,2021-11-23 15:09:01,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-11-21 15:09:01,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",2,3
4250,Молоко,278.4,2022-03-30 15:07:21,2022-04-04 15:07:21,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-04-02 15:07:21,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",2,3
4267,Молоко,307.2,2024-08-04 19:02:04,2024-08-09 19:02:04,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-08-06 19:02:04,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
4397,Молоко,76.1,2022-08-10 21:26:26,2022-08-15 21:26:26,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2022-08-14 21:26:26,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",1,4
4465,Молоко,333.2,2023-11-13 09:38:56,2023-11-18 09:38:56,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-11-13 09:38:56,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",5,0
4537,Молоко,241.2,2023-07-23 14:02:10,2023-07-28 14:02:10,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-07-25 14:02:10,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",3,2
4589,Молоко,234.3,2023-03-20 15:27:48,2023-03-25 15:27:48,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-03-23 15:27:48,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",2,3
4696,Молоко,71.1,2021-04-04 18:00:02,2021-04-09 18:00:02,1003,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2021-04-05 18:00:02,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",4,1
